review_id,review,rating,time,aspect_index,topic,problem,sentiment,aspect,modified_flag,company,data_source
a1dc8fbf-6eaa-4da9-884a-117dfc4b2e00,youtube music does not play music downloaded on my phone says its unavailable bring back play music bad app very bad im going to itunes,1,2/26/2025 5:53,a1dc8fbf-6eaa-4da9-884a-117dfc4b2e00_1_e1ce78ad,functionality,does not play music downloaded on my phone,negative,music playback issues,False,YouTube Music,Android
fb0526c3-1276-4a8f-b618-182578bb492c,i cant even sign up i was getting tired of spotifys constant doubling down on terrible ux decisions  so i thought id give apple music a try surely the ux from one of the biggest tech companies in the world will be frictionfree  right turns out i may never know i have tried to set up a trial account in this app  but for some reason  every time i try  it immediately cancels my subscription so after nearly a decade of music streaming services  the bar for a quality ux is shockingly low,1,8/21/2024 20:20,fb0526c3-1276-4a8f-b618-182578bb492c_1_5e675182,other,Unable to sign up for a trial account.,negative,user experience issues with sign-up process,False,Apple Music,Android
ea3144bb-ea90-42a3-9d70-1502e68e54c6,i cant say enough about calm  in fact everyone who knows me knows that i swear by calm more than once daily to enable me to focus  control emotions  and have also seen my personal relationships and career develop beyond what i thought was possible tamara is my favorite next to cillian murphy  but i have to say there isnt any session i havent fully enjoyed if there was a lifetime membership i would do it this journey has changed the way i view everything in my life especially during the pandemic and political and social issues this year has brought im so much more grounded thank you calm and everyone who invests in this,5,10/30/2020 9:25,ea3144bb-ea90-42a3-9d70-1502e68e54c6_1_04462769,other,N/A,Positive,N/A,False,Amazon Music,IOS
f254e427-5b4b-4a64-a271-a3fd0214f166,starting out  they give you the premium version for 2 weeks  so you can enjoy listening to music while using other apps and also when your phone screen goes to sleep once that trial period ends and you are using the free version of the app  you get 15minute long advertisements and the music stops every 3 songs to ask if you are still listening and forces you to hit the yes button the premium version of this app is great  but making the free version so terrible that it is unusable is a marketing game that im just not going to play this app is worthless to me if i have to constantly interact with it to keep the music playing for more than 10 minutes at a time and the fact is  that its all just a thinly veiled attempt to get you addicted to the convenience of the premium version,1,11/7/2019 19:20,f254e427-5b4b-4a64-a271-a3fd0214f166_1_9eae3338,functionality,making the free version so terrible that it is unusable,negative,free version usability issue,False,YouTube Music,IOS
f59a3cc8-30f2-4131-aecf-e78d3e312099,terrible experience when purchasing and downloading music corrupted downloads and paid songs disappearing,2,2/17/2025 16:17,f59a3cc8-30f2-4131-aecf-e78d3e312099_1_6fac96f1,functionality,corrupted downloads,negative,purchasing experience,False,Amazon Music,Android
47a4ef8b-9265-4897-a319-8d59a1e14c5e,i want to know how you fix the bugs because my music will not play it cuts out im doing good if i can listen to one song without it cutting out you figure out how to fix that and you might have a radio station otherwise it sucks,2,2/15/2025 12:23,47a4ef8b-9265-4897-a319-8d59a1e14c5e_1_901b63f7,performance,my music will not play it cuts out,negative,music playback issues,False,Amazon Music,Android
7ced2091-39d6-4a0d-a9d4-77f3c3116463,sometimes it refuses to play any thing,1,1/12/2025 19:34,7ced2091-39d6-4a0d-a9d4-77f3c3116463_1_99ebad54,functionality,it refuses to play anything,negative,playback functionality,False,Apple Music,Android
71504a6d-8fa9-472e-a6af-ae3a073aab6c,it will not load up since my subscription expired it wont allow me to renew,1,2/14/2025 23:49,71504a6d-8fa9-472e-a6af-ae3a073aab6c_1_988a0d2e,customer_service,it will not load up since my subscription expired,negative,subscription renewal issue,False,Amazon Music,Android
9419b9d4-cc1e-4ee5-9655-c864e6a23c93,wow  thanks apple  so okay   its bad enough you didnt put same brain to use on third gen airpods so they actually stay in your ear forcing some of us an hour after we purchased them to lose one having to go back and buy another pair now as opposed to earlier models we also lose them when trying to press them to get to next song or pause also  where is volume control on these im tapping and tapping and tapping nothing  only to read today i cant be up anywhere where im not buttplugged into you or not connected to net wherebi must ask siri  permission to increase or decrease volume  sorry all you thousands of wifi only users or you guys who live in mountains also  cant seem to connect more than one ear at a time great plug n play using two apple products jobs would be proud  so where do i go backwards and order your less expensive but better airpod 2s again,1,12/7/2021 22:53,9419b9d4-cc1e-4ee5-9655-c864e6a23c93_1_9df538ef,functionality,losing one airpod after purchase,negative,design and fit of airpods,False,Apple Music,IOS
9419b9d4-cc1e-4ee5-9655-c864e6a23c93,wow  thanks apple  so okay   its bad enough you didnt put same brain to use on third gen airpods so they actually stay in your ear forcing some of us an hour after we purchased them to lose one having to go back and buy another pair now as opposed to earlier models we also lose them when trying to press them to get to next song or pause also  where is volume control on these im tapping and tapping and tapping nothing  only to read today i cant be up anywhere where im not buttplugged into you or not connected to net wherebi must ask siri  permission to increase or decrease volume  sorry all you thousands of wifi only users or you guys who live in mountains also  cant seem to connect more than one ear at a time great plug n play using two apple products jobs would be proud  so where do i go backwards and order your less expensive but better airpod 2s again,1,12/7/2021 22:53,9419b9d4-cc1e-4ee5-9655-c864e6a23c93_2_727a7ff1,other,cannot control volume without Siri,negative,volume control issues,False,Apple Music,IOS
e4efcc86-2bfe-4787-a61b-904b35d4522a,since i updated to android 12  the app crashes multiple times every day,5,2/25/2025 6:17,e4efcc86-2bfe-4787-a61b-904b35d4522a_1_d9110380,performance,the app crashes multiple times every day,negative,app stability issues,False,YouTube Music,Android
6ba1e47d-5088-4ae1-a4a4-ee2012b3cbd4,calm is my favorite app at the moment my sister and i listen to the sleep stories every night  and we love it i am asleep in minutes  i dont even know what happens at the end of half the stories i listen to my father came in my room one night and thought the music i was listening to was very relaxing  and i agreed the music is also great i bought premium and it is so worth it you get access to everything i do the breathing exercises every day before school it definitely calms your mind most of the narrators voices are very calming another thing is that every time you open the app it greets you with take a deep breath you can also change the backround which comes with calming music overall great app,5,4/22/2020 22:35,6ba1e47d-5088-4ae1-a4a4-ee2012b3cbd4_1_0e79ef7c,other,N/A,Positive,N/A,False,Amazon Music,IOS
4fa1f9e4-4a33-42e1-828c-a18ecaa1b1e1,app is fine for the most part  except i have to keep uninstalling and reinstalling everydayor the music keeps glitching and skipping please fix update cant even listen to music without it skipping on my bluetooth have tried other apps and bluetooth connection is fine it seems that it is only youtube music is anyone else experiencing this,1,2/10/2025 20:30,4fa1f9e4-4a33-42e1-828c-a18ecaa1b1e1_1_07806e4e,performance,music keeps glitching and skipping,negative,music playback issues,False,YouTube Music,Android
6564ff93-5e93-4b11-9893-2e490ced2b76,i love calm all and of it stories also the fact that calm is the only thing that helps me sleep i had a sleeping problem and i  hated going to sleep and id just stay up to a very late time where id only get a small amount of sleep but then i found calm where i can just relax and listen to calming stories that i never finish because id already be asleep when i rely on it  it never fails me it works every time i also like how every morning calm asks you how you slept and that every time i get to put great as my answer i would never delete this app it is a miracle worker and helps me sleep like nothing else does that is all i have to say for nowive encountered no bugs or anything needing to be fixed thank for the app that has helped me so much ,5,4/12/2020 14:31,6564ff93-5e93-4b11-9893-2e490ced2b76_1_186b993c,other,N/A,Positive,N/A,False,Amazon Music,IOS
e69e2267-152e-4b9c-9ff6-fde998e1b918,i got this last christmas eve used it for a while i decided to try it again before canceling my subscription reminded me how great the daily calm is i love tamaras voice and its a wonderful way to start your day and then i discovered the master classes dont know if i overlooked these when i first got the app or if its been added listened to elizabeth gilberts and was blown away just fantastic honestly either one of these is worth the price of admission and to have both plus other features i havent explored yet honestly im glad there is a subscription fee because it made me revisit this amazing tool i am using it every day again and it really is making a positive impact on my mood and overall feeling of happiness worth every penny if you are ready to be good to yourself give it a try thanks so much to everyone who created this app and is participating you have my sincere gratitude and love,5,12/20/2019 3:16,e69e2267-152e-4b9c-9ff6-fde998e1b918_1_b64b379f,other,N/A,Positive,N/A,False,Amazon Music,IOS
935754af-fb40-4bd6-b888-ad7eb29eb3a8,meditation is so not natural to me tried in the past  never worked saw an ad for calm somewhere that struck a note w me and decided to give it a try for a week whatever it is about the calm app actually works for me my mind and body soak up those lovely ten minute sessions like a sponge after a week i paid for the extended version and its probably the only app i dont regret paying for the short exercise sessions are great too so happy i gave calm a try after so many failed meditation attempts in the past i just did a session  went into it heart literally racingevery time i think its not going to work  but it has try it ive stuck with it for months now and i really love it,5,6/27/2019 21:28,935754af-fb40-4bd6-b888-ad7eb29eb3a8_1_5c4ff39e,other,N/A,Positive,N/A,False,Amazon Music,IOS
d34bbb39-0610-4235-b6be-70559a0e0734,i take breaks from this subscription and let it expire or cancel after it ends my purchased music become basically unplayable or theres serious malfunction in this app this problem has been going on for years and many ios versions its still a problem i just deleted app reinstalled and still my music doesnt work right needs work to resolve this issue also i make sure that i download my purchased music while not in a subscription,3,1/5/2025 0:27,d34bbb39-0610-4235-b6be-70559a0e0734_1_bbd53370,functionality,purchased music becomes unplayable after subscription expires,negative,music accessibility issues,False,Apple Music,IOS
d34bbb39-0610-4235-b6be-70559a0e0734,i take breaks from this subscription and let it expire or cancel after it ends my purchased music become basically unplayable or theres serious malfunction in this app this problem has been going on for years and many ios versions its still a problem i just deleted app reinstalled and still my music doesnt work right needs work to resolve this issue also i make sure that i download my purchased music while not in a subscription,3,1/5/2025 0:27,d34bbb39-0610-4235-b6be-70559a0e0734_2_f26f2956,other,serious malfunction in the app,negative,app functionality problems,False,Apple Music,IOS
ab2ec5f7-1465-43b7-9834-476b896238a8,my toddler likes the thomas the tank meditations i got the premium subscription for 70 a year out of desperation to get my kiddo to sleep apparently i was pretty sleep deprived myself because i bought it twice  as explained by the company representative one under the app store and one online with an email when i asked if she could stop one of them  she ghosted me i still cant seem to cancel one of them  and the other had been paid for the year anyway it was one day until the free trial ended  and the rep refused to help me regardless of the content  which i dont personally find helpful  i think ethically the company should not take advantage of people like that ive led groups on mindfulness meditation for years as a therapist  and i think this content is just okay search for mindfulness meditations and lots of free videos will pop up or try reading or listening to real mindfulness like jon kabatzin glad some people find this app useful  but i wish id never signed up paying for two premium subscriptions i barely use and the one i cant find auto renews  feeling duped,2,1/25/2021 5:22,ab2ec5f7-1465-43b7-9834-476b896238a8_1_5b9683fe,customer_service,I can't seem to cancel one of the premium subscriptions.,negative,customer service response,False,Amazon Music,IOS
caf55418-1ead-4547-859c-8fab34362c17,perfect i do have the paidfor version because it has everything i want in a music app and i love it podcasts are great  audio books  really useful search function that actually works it has everything the amount of different music ive found just from recommendations is amazing ive never had any problems using spotify so ill just keep on with my subscription and enjoy my listening it makes me happy,5,2/18/2025 19:24,caf55418-1ead-4547-859c-8fab34362c17_1_8395a66a,other,N/A,Positive,N/A,False,Spotify,Android
cd8e0b9d-0698-450f-9626-6faba27db4a2,update i do npt appreciate the splashing ads its way too hard to downvoteremoveignore songs the claim is that if you listen more  the recommendations will get better  but because i end up listening to songs i dont like  the algorithm just delivers more of the same the i dont like this song icon not sure what its called should get equal weight and be on all the same screens as the heart,3,2/9/2025 16:42,cd8e0b9d-0698-450f-9626-6faba27db4a2_1_abfba92d,ads,splashing ads are disruptive,negative,ad display issues,False,Spotify,Android
44ee9b94-ad35-4fb1-8710-70ea7c292d4b,the music selections are excellent and the quality is as good or better than my cds of the same albums that i possess,5,2/24/2025 16:16,44ee9b94-ad35-4fb1-8710-70ea7c292d4b_1_3742d42a,other,N/A,Positive,N/A,False,Amazon Music,Android
8cbecf09-ae0f-4d46-8b31-9ec9695cc3ca,i used to love this app until i found it playing the same tired songs over and over apparently there is no true shuffle for your playlists this app uses a smart shuffle feature which is based on trending music and songs youve played most so if you dont mind listening to the same music over and over than use spotify if not  use apple music severely disappointed,2,2/17/2025 21:31,8cbecf09-ae0f-4d46-8b31-9ec9695cc3ca_1_5659c10b,functionality,playing the same tired songs over and over,negative,playlist shuffle feature,False,Spotify,Android
fc91e3ca-6d75-4521-ba8c-09a4712b7bc0,downloads a playlist  set library to only show downloaded playlist  opens playlist and buffers on a downloaded playlist why bother giving an option to download in the first place it seems that youre offline  see downloaded songs click yes and it buffers why bother asking then its like whoever made the app was trying to copy spotify features but doesnt know why the features were there in the first place,1,2/16/2025 8:56,fc91e3ca-6d75-4521-ba8c-09a4712b7bc0_1_df55a290,functionality,opens playlist and buffers on a downloaded playlist,negative,playback issues with downloaded playlists,False,YouTube Music,Android
